                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8511,                  2.011,                 1.6167,                0.47739,                0.40489,                 0.3498,                0.15522,                 1.9401,                 2.2336,                 1.6005,             0.00055316,             0.00055316,             0.00055316
                      2,                 1.7344,                 1.6124,                 1.5407,                0.57088,                0.39835,                0.39804,                0.16949,                 2.0067,                 2.6136,                 1.7704,              0.0010869,              0.0010869,              0.0010869
                      3,                 1.6983,                 1.5171,                 1.5177,                0.52161,                0.55021,                0.47147,                0.16436,                 2.2712,                 1.9678,                 1.9121,              0.0015986,              0.0015986,              0.0015986
                      4,                 1.6943,                 1.4975,                 1.5047,                0.55844,                0.52337,                0.52281,                0.21143,                 2.0553,                  1.611,                 1.7818,               0.001568,               0.001568,               0.001568
                      5,                 1.6482,                 1.4276,                 1.4885,                0.62655,                0.62021,                0.63052,                0.27709,                 1.9422,                 1.3978,                 1.6794,               0.001568,               0.001568,               0.001568
                      6,                 1.6168,                  1.328,                 1.4595,                0.65861,                0.72537,                0.70964,                0.28105,                 2.0621,                 1.2173,                 1.7781,               0.001535,               0.001535,               0.001535
                      7,                  1.588,                 1.3092,                 1.4484,                0.73457,                0.62831,                0.65701,                0.25743,                 2.0716,                 1.3705,                  1.706,               0.001502,               0.001502,               0.001502
                      8,                 1.5745,                 1.2514,                 1.4281,                0.66745,                0.68543,                0.67476,                0.28671,                 1.9478,                 1.2336,                 1.6903,               0.001469,               0.001469,               0.001469
                      9,                 1.5477,                  1.191,                 1.4125,                0.68437,                0.69728,                0.72555,                  0.325,                 1.8872,                 1.2307,                 1.5934,               0.001436,               0.001436,               0.001436
                     10,                  1.536,                 1.1651,                 1.4041,                0.63757,                0.63485,                0.61225,                0.26378,                 2.0005,                 1.4166,                  1.693,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.5146,                 1.1266,                 1.3857,                0.72279,                0.66312,                0.68942,                0.27018,                  2.149,                 1.2327,                 1.7722,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.4962,                 1.1097,                 1.3763,                0.70819,                0.72283,                 0.7026,                0.27486,                 2.0817,                 1.1355,                 1.7301,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.4887,                 1.0628,                 1.3574,                0.70935,                0.64194,                0.68235,                0.30803,                 1.8182,                 1.2544,                 1.5635,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.4521,                 1.0376,                 1.3389,                0.68747,                0.71822,                0.73177,                0.31372,                 1.9728,                 1.0605,                 1.6647,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.4467,                  1.033,                 1.3427,                0.72456,                0.65403,                0.69805,                0.30662,                 1.9602,                 1.1988,                 1.6703,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.4384,                 1.0137,                 1.3356,                0.75299,                0.68859,                0.70767,                0.29906,                 2.0261,                 1.1674,                 1.7291,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.4259,                0.99862,                 1.3324,                0.76149,                0.66359,                0.70423,                0.31589,                 1.8989,                 1.1054,                 1.6425,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.3957,                0.95438,                 1.3064,                0.78269,                 0.7288,                0.77386,                0.30772,                 2.0856,                 1.0522,                 1.7756,              0.0011389,              0.0011389,              0.0011389
                     19,                  1.408,                 0.9436,                 1.3076,                0.77061,                0.68261,                0.73427,                0.34211,                 1.8253,                 1.1302,                 1.5629,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.3885,                0.94099,                 1.2906,                0.74023,                0.77769,                0.78323,                0.34949,                 1.8774,                 0.9624,                 1.6122,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.3737,                0.91148,                  1.287,                0.78605,                0.70598,                0.76174,                0.33881,                  1.903,                 1.0482,                 1.6155,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.3538,                0.88643,                 1.2731,                0.81033,                0.72346,                0.75446,                0.32767,                 1.9962,                 1.1391,                 1.6679,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.3424,                0.87571,                 1.2708,                0.75623,                 0.7288,                0.75456,                 0.3582,                 1.8369,                 1.0758,                 1.5751,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.3332,                0.87048,                  1.265,                0.79698,                0.65217,                 0.7155,                0.31347,                   1.95,                 1.1656,                 1.6492,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.3314,                0.85688,                 1.2571,                0.83442,                0.75603,                0.80678,                0.38719,                 1.7963,                0.94119,                 1.5252,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.3119,                0.84308,                 1.2517,                0.75406,                0.74293,                0.74902,                0.35331,                   1.89,                 1.0301,                 1.6132,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2965,                0.83325,                 1.2364,                0.78707,                0.78804,                0.81811,                0.38574,                 1.8521,                0.96719,                 1.5894,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.2866,                0.81546,                 1.2331,                0.77322,                0.67689,                0.71232,                0.30555,                 2.0339,                 1.0899,                 1.7571,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.2725,                 0.8031,                 1.2246,                0.87175,                0.72532,                0.79669,                0.35821,                 1.8996,                0.98944,                 1.6191,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.2878,                0.80152,                 1.2229,                0.77383,                0.75295,                0.79565,                0.37685,                 1.8754,                 1.0152,                  1.596,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.2524,                0.77969,                 1.2106,                0.77223,                0.76087,                0.77876,                 0.3813,                 1.8288,                 0.9886,                 1.5873,             0.00070981,             0.00070981,             0.00070981
